CustomerID,CustomerName,CustomerSegment,RegionID
C0182,Kabir Malhotra 182,Consumer,R01
C0183,Ishaan Malhotra 183,Consumer,R03
C0184,Rahul Malhotra 184,Enterprise,R03
C0185,Ananya Malhotra 185,SMB,R01
C0186,Diya Malhotra 186,SMB,R04
C0187,Isha Malhotra 187,SMB,R02
C0188,Meera Malhotra 188,SMB,R02
C0189,Priya Malhotra 189,Consumer,R04
C0190,Kavya Malhotra 190,Enterprise,R04
C0191,Neha Malhotra 191,Consumer,R02
C0192,Aditi Malhotra 192,Consumer,R01
C0193,Aarav Bose 193,Consumer,R03
C0194,Vivaan Bose 194,SMB,R01
C0195,Aditya Bose 195,Consumer,R01
C0196,Arjun Bose 196,Enterprise,R01
C0197,Rohan Bose 197,Consumer,R01
C0198,Kabir Bose 198,Consumer,R03
C0199,Ishaan Bose 199,Enterprise,R01
C0200,Rahul Bose 200,Enterprise,R03
C0201,Ananya Bose 201,Consumer,R01
C0202,Diya Bose 202,Consumer,R01
C0203,Isha Bose 203,Consumer,R04
C0204,Meera Bose 204,Consumer,R03
C0205,Priya Bose 205,Consumer,R01
C0206,Kavya Bose 206,Enterprise,R01
C0207,Neha Bose 207,SMB,R04
C0208,Aditi Bose 208,SMB,R04
C0209,Aarav Chopra 209,Enterprise,R04
C0210,Vivaan Chopra 210,Enterprise,R02
C0211,Aditya Chopra 211,Consumer,R04
C0212,Arjun Chopra 212,SMB,R01
C0213,Rohan Chopra 213,SMB,R01
C0214,Kabir Chopra 214,Consumer,R04
C0215,Ishaan Chopra 215,Enterprise,R01
C0216,Rahul Chopra 216,Enterprise,R04
C0217,Ananya Chopra 217,SMB,R04
C0218,Diya Chopra 218,SMB,R03
C0219,Isha Chopra 219,Enterprise,R04
C0220,Meera Chopra 220,SMB,R03
C0221,Priya Chopra 221,SMB,R03
C0222,Kavya Chopra 222,Consumer,R01
C0223,Neha Chopra 223,SMB,R02
C0224,Aditi Chopra 224,SMB,R01
C0225,Aarav Sharma 225,Enterprise,R02
C0226,Vivaan Sharma 226,SMB,R02
C0227,Aditya Sharma 227,SMB,R03
C0228,Arjun Sharma 228,SMB,R02
C0229,Rohan Sharma 229,Enterprise,R03
C0230,Kabir Sharma 230,SMB,R01
C0231,Ishaan Sharma 231,SMB,R02
C0232,Rahul Sharma 232,Enterprise,R03
C0233,Ananya Sharma 233,SMB,R04
C0234,Diya Sharma 234,SMB,R03
C0235,Isha Sharma 235,SMB,R04
C0236,Meera Sharma 236,SMB,R02
C0237,Priya Sharma 237,SMB,R02
C0238,Kavya Sharma 238,SMB,R04
C0239,Neha Sharma 239,Consumer,R04
C0240,Aditi Sharma 240,SMB,R03
C0241,Aarav Verma 241,Consumer,R02
C0242,Vivaan Verma 242,Consumer,R02
C0243,Aditya Verma 243,Enterprise,R01
C0244,Arjun Verma 244,Consumer,R01
C0245,Rohan Verma 245,SMB,R02
C0246,Kabir Verma 246,Enterprise,R02
C0247,Ishaan Verma 247,Consumer,R01
C0248,Rahul Verma 248,Consumer,R04
C0249,Ananya Verma 249,SMB,R01
C0250,Diya Verma 250,SMB,R01
C0251,Isha Verma 251,SMB,R04
C0252,Meera Verma 252,Consumer,R04
C0253,Priya Verma 253,SMB,R03
C0254,Kavya Verma 254,Consumer,R02
C0255,Neha Verma 255,SMB,R01
C0256,Aditi Verma 256,Enterprise,R03
C0257,Aarav Patel 257,Enterprise,R01
C0258,Vivaan Patel 258,Consumer,R04
C0259,Aditya Patel 259,SMB,R04
C0260,Arjun Patel 260,Consumer,R01
C0261,Rohan Patel 261,SMB,R02
C0262,Kabir Patel 262,Enterprise,R04
C0263,Ishaan Patel 263,SMB,R02
C0264,Rahul Patel 264,Enterprise,R01
C0265,Ananya Patel 265,Consumer,R01
C0266,Diya Patel 266,Enterprise,R02
C0267,Isha Patel 267,SMB,R03
C0268,Meera Patel 268,SMB,R01
C0269,Priya Patel 269,Enterprise,R04
C0270,Kavya Patel 270,SMB,R03
C0271,Neha Patel 271,SMB,R04
C0272,Aditi Patel 272,Enterprise,R02
C0273,Aarav Mehta 273,SMB,R02
C0274,Vivaan Mehta 274,Consumer,R02
C0275,Aditya Mehta 275,Consumer,R04
C0276,Arjun Mehta 276,SMB,R04
C0277,Rohan Mehta 277,SMB,R04
C0278,Kabir Mehta 278,SMB,R02
C0279,Ishaan Mehta 279,SMB,R01
C0280,Rahul Mehta 280,SMB,R04
C0281,Ananya Mehta 281,SMB,R01
C0282,Diya Mehta 282,SMB,R01
C0283,Isha Mehta 283,Enterprise,R04
C0284,Meera Mehta 284,SMB,R02
C0285,Priya Mehta 285,SMB,R01
C0286,Kavya Mehta 286,SMB,R04
C0287,Neha Mehta 287,SMB,R04
C0288,Aditi Mehta 288,SMB,R02
C0289,Aarav Singh 289,Consumer,R04
C0290,Vivaan Singh 290,Consumer,R04
C0291,Aditya Singh 291,Consumer,R04
C0292,Arjun Singh 292,Enterprise,R04
C0293,Rohan Singh 293,SMB,R03
C0294,Kabir Singh 294,SMB,R04
C0295,Ishaan Singh 295,Consumer,R02
C0296,Rahul Singh 296,Consumer,R04
C0297,Ananya Singh 297,SMB,R01
C0298,Diya Singh 298,Enterprise,R04
C0299,Isha Singh 299,SMB,R04
C0300,Meera Singh 300,SMB,R04
C0301,Priya Singh 301,SMB,R04
C0302,Kavya Singh 302,Enterprise,R03
C0303,Neha Singh 303,Consumer,R04
C0304,Aditi Singh 304,Consumer,R01
C0305,Aarav Kapoor 305,SMB,R01
C0306,Vivaan Kapoor 306,Enterprise,R03
C0307,Aditya Kapoor 307,Consumer,R04
C0308,Arjun Kapoor 308,Consumer,R04
C0309,Rohan Kapoor 309,Consumer,R01
C0310,Kabir Kapoor 310,Enterprise,R03
C0311,Ishaan Kapoor 311,Consumer,R01
C0312,Rahul Kapoor 312,SMB,R03
C0313,Ananya Kapoor 313,Enterprise,R02
C0314,Diya Kapoor 314,Consumer,R03
C0315,Isha Kapoor 315,Enterprise,R04
C0316,Meera Kapoor 316,SMB,R04
C0317,Priya Kapoor 317,SMB,R03
C0318,Kavya Kapoor 318,SMB,R02
C0319,Neha Kapoor 319,Consumer,R01
C0320,Aditi Kapoor 320,Enterprise,R02
C0321,Aarav Iyer 321,Consumer,R04
C0322,Vivaan Iyer 322,Consumer,R02
C0323,Aditya Iyer 323,SMB,R01
C0324,Arjun Iyer 324,SMB,R04
C0325,Rohan Iyer 325,Consumer,R03
C0326,Kabir Iyer 326,SMB,R04
C0327,Ishaan Iyer 327,SMB,R01
C0328,Rahul Iyer 328,SMB,R01
C0329,Ananya Iyer 329,Enterprise,R01
C0330,Diya Iyer 330,SMB,R03
C0331,Isha Iyer 331,SMB,R02
C0332,Meera Iyer 332,Consumer,R04
C0333,Priya Iyer 333,SMB,R02
C0334,Kavya Iyer 334,Consumer,R01
C0335,Neha Iyer 335,SMB,R04
C0336,Aditi Iyer 336,SMB,R04
C0337,Aarav Reddy 337,SMB,R03
C0338,Vivaan Reddy 338,SMB,R01
C0339,Aditya Reddy 339,SMB,R01
C0340,Arjun Reddy 340,Consumer,R02
C0341,Rohan Reddy 341,SMB,R04
C0342,Kabir Reddy 342,Consumer,R02
C0343,Ishaan Reddy 343,SMB,R04
C0344,Rahul Reddy 344,SMB,R04
C0345,Ananya Reddy 345,Consumer,R04
C0346,Diya Reddy 346,Enterprise,R03
C0347,Isha Reddy 347,Enterprise,R03
C0348,Meera Reddy 348,Consumer,R03
C0349,Priya Reddy 349,SMB,R01
C0350,Kavya Reddy 350,Consumer,R01
C0351,Neha Reddy 351,Enterprise,R01
C0352,Aditi Reddy 352,Enterprise,R02
C0353,Aarav Nair 353,SMB,R02
C0354,Vivaan Nair 354,Enterprise,R01
C0355,Aditya Nair 355,SMB,R01
C0356,Arjun Nair 356,SMB,R01
C0357,Rohan Nair 357,SMB,R02
C0358,Kabir Nair 358,SMB,R01
C0359,Ishaan Nair 359,Enterprise,R04
C0360,Rahul Nair 360,Enterprise,R03
C0361,Ananya Nair 361,SMB,R02
C0362,Diya Nair 362,SMB,R04
C0363,Isha Nair 363,Consumer,R02
C0364,Meera Nair 364,SMB,R01
C0365,Priya Nair 365,SMB,R03
C0366,Kavya Nair 366,Enterprise,R02
C0367,Neha Nair 367,Consumer,R01
C0368,Aditi Nair 368,SMB,R04
C0369,Aarav Gupta 369,Enterprise,R01
C0370,Vivaan Gupta 370,Enterprise,R04
C0371,Aditya Gupta 371,Enterprise,R01
C0372,Arjun Gupta 372,Enterprise,R01
C0373,Rohan Gupta 373,SMB,R01
C0374,Kabir Gupta 374,SMB,R03
C0375,Ishaan Gupta 375,Consumer,R01
C0376,Rahul Gupta 376,Consumer,R03
C0377,Ananya Gupta 377,Enterprise,R04
C0378,Diya Gupta 378,Consumer,R02
C0379,Isha Gupta 379,Consumer,R02
C0380,Meera Gupta 380,SMB,R04
C0381,Priya Gupta 381,SMB,R04
C0382,Kavya Gupta 382,SMB,R04
C0383,Neha Gupta 383,SMB,R01
C0384,Aditi Gupta 384,SMB,R02
C0385,Aarav Joshi 385,Enterprise,R01
C0386,Vivaan Joshi 386,SMB,R01
C0387,Aditya Joshi 387,Enterprise,R04
C0388,Arjun Joshi 388,Consumer,R04
C0389,Rohan Joshi 389,SMB,R04
C0390,Kabir Joshi 390,SMB,R01
C0391,Ishaan Joshi 391,Enterprise,R03
C0392,Rahul Joshi 392,Enterprise,R03
C0393,Ananya Joshi 393,Consumer,R01
C0394,Diya Joshi 394,Enterprise,R04
C0395,Isha Joshi 395,SMB,R01
C0396,Meera Joshi 396,Consumer,R04
C0397,Priya Joshi 397,SMB,R03
C0398,Kavya Joshi 398,SMB,R01
C0399,Neha Joshi 399,SMB,R02
C0400,Aditi Joshi 400,SMB,R04
C0401,Aarav Malhotra 401,Enterprise,R03
C0402,Vivaan Malhotra 402,Enterprise,R04
C0403,Aditya Malhotra 403,SMB,R03
C0404,Arjun Malhotra 404,SMB,R02
C0405,Rohan Malhotra 405,SMB,R04
C0406,Kabir Malhotra 406,SMB,R04
C0407,Ishaan Malhotra 407,Consumer,R02
C0408,Rahul Malhotra 408,SMB,R01
C0409,Ananya Malhotra 409,Consumer,R03
C0410,Diya Malhotra 410,SMB,R01
C0411,Isha Malhotra 411,Consumer,R02
C0412,Meera Malhotra 412,SMB,R01
C0413,Priya Malhotra 413,Consumer,R01
C0414,Kavya Malhotra 414,Enterprise,R04
C0415,Neha Malhotra 415,Consumer,R01
C0416,Aditi Malhotra 416,SMB,R04
C0417,Aarav Bose 417,Consumer,R02
C0418,Vivaan Bose 418,SMB,R04
C0419,Aditya Bose 419,Consumer,R04
C0420,Arjun Bose 420,SMB,R01
C0421,Rohan Bose 421,Consumer,R04
C0422,Kabir Bose 422,Consumer,R01
C0423,Ishaan Bose 423,Enterprise,R04
C0424,Rahul Bose 424,Enterprise,R04
C0425,Ananya Bose 425,SMB,R04
C0426,Diya Bose 426,Consumer,R02
C0427,Isha Bose 427,SMB,R03
C0428,Meera Bose 428,SMB,R02
C0429,Priya Bose 429,SMB,R04
C0430,Kavya Bose 430,SMB,R01
C0431,Neha Bose 431,SMB,R02
C0432,Aditi Bose 432,Enterprise,R01
C0433,Aarav Chopra 433,SMB,R02
C0434,Vivaan Chopra 434,Consumer,R01
C0435,Aditya Chopra 435,Enterprise,R04
C0436,Arjun Chopra 436,Consumer,R02
C0437,Rohan Chopra 437,Enterprise,R01
C0438,Kabir Chopra 438,SMB,R02
C0439,Ishaan Chopra 439,SMB,R01
C0440,Rahul Chopra 440,SMB,R04
C0441,Ananya Chopra 441,SMB,R02
C0442,Diya Chopra 442,Enterprise,R02
C0443,Isha Chopra 443,SMB,R04
C0444,Meera Chopra 444,Consumer,R04
C0445,Priya Chopra 445,Consumer,R04
C0446,Kavya Chopra 446,Consumer,R01
C0447,Neha Chopra 447,Enterprise,R02
C0448,Aditi Chopra 448,SMB,R01
C0449,Aarav Sharma 449,Consumer,R03
C0450,Vivaan Sharma 450,SMB,R01
C0451,Aditya Sharma 451,SMB,R01
C0452,Arjun Sharma 452,Consumer,R03
C0453,Rohan Sharma 453,Consumer,R02
C0454,Kabir Sharma 454,SMB,R02
C0455,Ishaan Sharma 455,Consumer,R04
C0456,Rahul Sharma 456,Enterprise,R04
C0457,Ananya Sharma 457,Enterprise,R04
C0458,Diya Sharma 458,Enterprise,R02
C0459,Isha Sharma 459,Consumer,R01
C0460,Meera Sharma 460,SMB,R02
C0461,Priya Sharma 461,Enterprise,R04
C0462,Kavya Sharma 462,Consumer,R04
C0463,Neha Sharma 463,SMB,R03
C0464,Aditi Sharma 464,Enterprise,R01
C0465,Aarav Verma 465,Enterprise,R04
C0466,Vivaan Verma 466,Consumer,R04
C0467,Aditya Verma 467,SMB,R02
C0468,Arjun Verma 468,SMB,R03
C0469,Rohan Verma 469,SMB,R01
C0470,Kabir Verma 470,Enterprise,R04
C0471,Ishaan Verma 471,SMB,R04
C0472,Rahul Verma 472,Enterprise,R03
C0473,Ananya Verma 473,Enterprise,R02
C0474,Diya Verma 474,Enterprise,R01
C0475,Isha Verma 475,Consumer,R02
C0476,Meera Verma 476,SMB,R02
C0477,Priya Verma 477,SMB,R03
C0478,Kavya Verma 478,Enterprise,R04
C0479,Neha Verma 479,Consumer,R04
C0480,Aditi Verma 480,SMB,R01
C0481,Aarav Patel 481,Consumer,R02
C0482,Vivaan Patel 482,Enterprise,R02
C0483,Aditya Patel 483,Consumer,R03
C0484,Arjun Patel 484,Consumer,R04
C0485,Rohan Patel 485,Enterprise,R04
C0486,Kabir Patel 486,SMB,R03
C0487,Ishaan Patel 487,Enterprise,R04
C0488,Rahul Patel 488,SMB,R01
C0489,Ananya Patel 489,SMB,R01
C0490,Diya Patel 490,Enterprise,R03
C0491,Isha Patel 491,SMB,R04
C0492,Meera Patel 492,SMB,R04
C0493,Priya Patel 493,SMB,R03
C0494,Kavya Patel 494,SMB,R02
C0495,Neha Patel 495,Consumer,R02
C0496,Aditi Patel 496,Enterprise,R03
C0497,Aarav Mehta 497,Consumer,R01
C0498,Vivaan Mehta 498,SMB,R04
C0499,Aditya Mehta 499,Consumer,R04
C0500,Arjun Mehta 500,SMB,R03
